Vitals:
Short Term Values:
Time,avail,swap,si,so,pr,pb,cpu-us,cpu-sy,cpu-id,cpu-wa,cpu-st,cpu-gu,virt,rss-all,rss-anon,rss-file,rss-shm,swdo,cpu-us,cpu-sy,io-of,io-rd,io-wr,thr,heap-comm,heap-used,meta-comm,meta-used,meta-csc,meta-csu,meta-gctr,code,mlc,jthr-num,jthr-nd,jthr-cr,jthr-st,cldg-num,cldg-anon,cls-num,cls-ld,cls-uld,

"2021-04-15 17:46:09","61215984","0","","","15","0","","","","","","","3857792","106716","78244","28472","0","0","","","8","","","33","131072","21224","4864","3834","512","372","21296","8064","0","23","1","","31836","32","11","1491","","",
"2021-04-15 17:46:10","61020252","0","0","0","1","0","29","1","69","0","0","0","3999180","199308","162608","36700","0","0","15","1","9","1717","198","33","131072","6393","15488","15083","1664","1569","25816","13376","0","21","1","0","32852","57","36","3453","1962","0",
"2021-04-15 17:46:11","61019532","0","0","0","1","0","0","0","100","0","0","0","3999180","199428","162728","36700","0","0","0","0","9","13","1","31","131072","6393","15488","15083","1664","1569","25816","13376","0","19","1","0","30796","57","36","3453","0","0",
"2021-04-15 17:46:12","61019280","0","0","0","1","0","0","0","100","0","0","0","3999180","199884","163184","36700","0","0","0","0","9","16","2","25","131072","6393","15488","15083","1664","1569","25816","13376","0","13","1","0","24628","57","36","3453","0","0",
"2021-04-15 17:46:13","61019280","0","0","0","1","0","0","0","100","0","0","0","3999180","199884","163184","36700","0","0","0","0","9","12","2","25","131072","6393","15488","15083","1664","1569","25816","13376","0","13","1","0","24628","57","36","3453","0","0",
"2021-04-15 17:46:14","61019028","0","0","0","1","0","0","0","100","0","0","0","3999180","199884","163184","36700","0","0","0","0","9","13","1","25","131072","6395","15488","15084","1664","1569","25816","13376","0","13","1","0","24628","57","36","3453","0","0",
"2021-04-15 17:46:15","61045236","0","0","0","1","0","0","0","100","0","0","0","3999180","179776","143076","36700","0","0","0","0","9","13","2","25","131072","6395","15744","15085","1664","1569","25816","13440","0","13","1","0","24628","57","36","3453","0","0",
"2021-04-15 17:46:16","61045236","0","0","0","1","0","0","0","100","0","0","0","3999180","179776","143076","36700","0","0","0","0","9","12","1","25","131072","6395","15744","15085","1664","1569","25816","13440","0","13","1","0","24628","57","36","3453","0","0",
"2021-04-15 17:46:17","61045236","0","0","0","1","0","0","0","100","0","0","0","3999180","179776","143076","36700","0","0","0","0","9","12","1","25","131072","6395","15744","15085","1664","1569","25816","13440","0","13","1","0","24628","57","36","3453","0","0",
"2021-04-15 17:46:18","61045236","0","0","0","1","0","0","0","100","0","0","0","3999180","179776","143076","36700","0","0","0","0","9","12","1","25","131072","6395","15744","15085","1664","1569","25816","13440","0","13","1","0","24628","57","36","3453","0","0",
"2021-04-15 17:46:19","61045236","0","0","0","1","0","0","0","100","0","0","0","3999180","179776","143076","36700","0","0","0","0","9","17","2","25","131072","6395","15744","15085","1664","1569","25816","13440","0","13","1","0","24628","57","36","3453","0","0",
"2021-04-15 17:46:20","60931116","0","0","0","5","0","5","0","95","0","0","0","4113900","243892","207152","36740","0","0","2","0","9","29","16","31","131072","8946","130800","64155","7244","5321","215828","13504","0","15","1","2","30780","1430","36","7570","4117","0",
"2021-04-15 17:46:21","60812252","0","0","0","1","0","4","0","96","0","0","0","4204012","310072","273332","36740","0","0","2","0","9","16","11","33","131072","11878","225556","104472","11724","8406","360780","13504","0","17","1","2","32836","2557","36","10954","3384","0",
"2021-04-15 17:46:22","60812008","0","0","0","2","0","0","0","100","0","0","0","4204012","310072","273332","36740","0","0","0","0","9","12","1","33","131072","11878","225556","104472","11724","8406","360780","13504","0","17","1","0","32836","2557","36","10954","0","0",
"2021-04-15 17:46:23","60811984","0","0","0","1","0","0","0","100","0","0","0","4204012","310072","273332","36740","0","0","0","0","9","12","1","33","131072","11878","225556","104472","11724","8406","360780","13504","0","17","1","0","32836","2557","36","10954","0","0",
"2021-04-15 17:46:24","60811984","0","0","0","1","0","0","0","100","0","0","0","4204012","310072","273332","36740","0","0","0","0","9","12","1","33","131072","11878","225556","104472","11724","8406","360780","13504","0","17","1","0","32836","2557","36","10954","0","0",
